,address,incidentCount,lat,lng,incidentCummSum,daysWithIncidentPercent
145,"100 SUNRIDGE RD, LETHBRIDGE, AB, Canada",64,49.6523022,-112.8691036,0.584620088671457,0.11636363636363636
146,"300 7A AV, LETHBRIDGE, AB, Canada",64,49.6881411,-112.8426924,0.5858431432502675,0.12727272727272726
150,"1000 3 AV, LETHBRIDGE, AB, Canada",63,49.7029834,-112.8331855,0.5906589206543342,0.14181818181818182
149,"1200 29 ST, LETHBRIDGE, AB, Canada",63,49.679752,-112.7996966,0.5894549763033176,0.11636363636363636
148,"1700 15 AV, LETHBRIDGE, AB, Canada",63,49.6773362,-112.8184855,0.5882510319523009,0.11636363636363636
147,"2100 13 AV, LETHBRIDGE, AB, Canada",63,49.7164382,-112.8112522,0.5870470876012842,0.09818181818181818
151,"2300 MAYOR MAGRATH DR, LETHBRIDGE, AB, Canada",62,49.6696252,-112.8014003,0.5918437547775569,0.11272727272727273
152,"300 12 ST, LETHBRIDGE, AB, Canada",61,49.7031226,-112.8298205,0.5930094786729858,0.12727272727272726
153,"300 7 ST, LETHBRIDGE, AB, Canada",61,49.69548409999999,-112.8370873,0.5941752025684146,0.14545454545454545
154,"1900 13 ST, LETHBRIDGE, AB, Canada",61,49.7218336,-112.8244352,0.5953409264638434,0.11636363636363636
155,"700 7 AV, LETHBRIDGE, AB, Canada",61,49.6890286,-112.8364395,0.5965066503592723,0.13454545454545455
156,"1100 2A AV, LETHBRIDGE, AB, Canada",60,49.7017274,-112.831368,0.5976532640269072,0.14181818181818182
157,"2400 13 ST, LETHBRIDGE, AB, Canada",59,49.7256237,-112.8244598,0.5987807674667482,0.11272727272727273
158,"500 12 ST, LETHBRIDGE, AB, Canada",59,49.7058532,-112.8302428,0.5999082709065892,0.11272727272727273
159,"400 20 ST, LETHBRIDGE, AB, Canada",59,49.70385640000001,-112.8134108,0.6010357743464302,0.12
160,"300 1 AV, LETHBRIDGE, AB, Canada",58,49.697447,-112.8435665,0.6021441675584773,0.12727272727272726
161,"1 LEMOYNE CR, LETHBRIDGE, AB, Canada",57,49.6757549,-112.882456,0.6032334505427305,0.12
162,"1 MEADOWLARK BD, LETHBRIDGE, AB, Canada",57,49.7243657,-112.8095825,0.6043227335269836,0.11636363636363636
