address,lat,lng,incidentCount
"400 SQUAMISH LN, LETHBRIDGE, AB, Canada",49.6882886,-112.9002163,37
"600 14 ST, LETHBRIDGE, AB, Canada",49.69118330000001,-112.8225563,37
"300 12C ST, LETHBRIDGE, AB, Canada",49.7031028,-112.8254996,37
"900 6 AV, LETHBRIDGE, AB, Canada",49.6909793,-112.8329145,37
"600 12 ST, LETHBRIDGE, AB, Canada",49.7074835,-112.8298125,37
"1400 20 ST, LETHBRIDGE, AB, Canada",49.6779994,-112.8133071,37
"200 1 AV, LETHBRIDGE, AB, Canada",49.6973241,-112.8448012,37
"1 ST & 5 AV, LETHBRIDGE, AB, Canada",49.6880852,-112.8455507,37
"1400 ST EDWARD BD, LETHBRIDGE, AB, Canada",49.71851239999999,-112.831972,36
"1300 23 ST, LETHBRIDGE, AB, Canada",49.7168641,-112.8088878,36
"400 7 ST, LETHBRIDGE, AB, Canada",49.6941035,-112.8373618,36
"2500 5 AV, LETHBRIDGE, AB, Canada",49.69346909999999,-112.8053826,36
"500 5 AV, LETHBRIDGE, AB, Canada",49.6927987,-112.8399857,36
"1 PARK MEADOWS BD, LETHBRIDGE, AB, Canada",49.72102599999999,-112.8102616,36
"100 SIMON FRASER BD, LETHBRIDGE, AB, Canada",49.6639715,-112.8869619,36
"600 21 ST, LETHBRIDGE, AB, Canada",49.69129359999999,-112.8118405,36
"400 14 ST, LETHBRIDGE, AB, Canada",49.6947249,-112.822951,36
"1 LAFAYETTE BD, LETHBRIDGE, AB, Canada",49.6767013,-112.875648,36
"1000 25 ST, LETHBRIDGE, AB, Canada",49.7142596,-112.8060181,35
"600 STAFFORD DR, LETHBRIDGE, AB, Canada",49.7052227,-112.8339014,35
"900 9 ST, LETHBRIDGE, AB, Canada",49.6890933,-112.8332733,35
"100 5 AV, LETHBRIDGE, AB, Canada",49.70452,-112.8484,35
"1 MOHAWK RD, LETHBRIDGE, AB, Canada",49.6861297,-112.8879629,35
"900 8 ST, LETHBRIDGE, AB, Canada",49.6860986,-112.8343856,35
"2000 5 AV, LETHBRIDGE, AB, Canada",49.7056917,-112.8134081,34
"4000 2 AV, LETHBRIDGE, AB, Canada",49.7010069,-112.7843721,34
"1 STONEY CR, LETHBRIDGE, AB, Canada",49.6893849,-112.8914898,34
"100 LAFAYETTE BD, LETHBRIDGE, AB, Canada",49.6788927,-112.8769178,34
"100 LYNX CV, LETHBRIDGE, AB, Canada",49.7333647,-112.8072605,34
"1900 CEDAR RD, LETHBRIDGE, AB, Canada",49.6734641,-112.7844646,34
"800 5 ST, LETHBRIDGE, AB, Canada",49.6868707,-112.8396385,34
"300 10 ST, LETHBRIDGE, AB, Canada",49.6958829,-112.8326695,34
"500 21 ST, LETHBRIDGE, AB, Canada",49.69311080000001,-112.811428,34
"900 13 ST, LETHBRIDGE, AB, Canada",49.6865672,-112.8240082,34
