ccn,date,updateDate,city,state,postalCode,blocksizedAddress,incidentType,parentIncidentType,narrative
P23009708,"03/02/2023, 3:11:51 PM","03/03/2023, 5:45:30 AM",LETHBRIDGE,AB,.,1600 Block SCENIC HT,"PUBLIC SERVICE (LOCK-OUT/LOCK-IN, PEACE, WELFARE, RECKLESS ACTIVITY)",Other,"PUBLIC SERVICE (LOCK-OUT/LOCK-IN, PEACE, WELFARE, RECKLESS ACTIVITY)"
P23009709,"03/02/2023, 3:14:15 PM","03/03/2023, 5:45:30 AM",LETHBRIDGE,AB,.,1100 Block 5 AV,TRAFFIC STOP,Proactive Policing,TRAFFIC STOP
P23009710,"03/02/2023, 3:16:38 PM","03/03/2023, 5:45:30 AM",LETHBRIDGE,AB,.,700 Block 5 AV,TRESPASSING/UNWANTED,Quality of Life,TRESPASSING/UNWANTED
P23009711,"03/02/2023, 3:21:47 PM","03/03/2023, 5:45:30 AM",LETHBRIDGE,AB,.,2900 Block 2 AV,DOMESTIC DISTURBANCE/VIOLENCE,Other,DOMESTIC DISTURBANCE/VIOLENCE
P23009712,"03/02/2023, 3:39:36 PM","03/03/2023, 5:45:30 AM",LETHBRIDGE,AB,.,UNKNOWN STREET,TRAFFIC VIOLATION/COMPLAINT/HAZARD,Proactive Policing,TRAFFIC VIOLATION/COMPLAINT/HAZARD
CA23004694,"03/01/2023, 7:00:00 AM","03/03/2023, 5:46:25 AM",LETHBRIDGE,AB,.,1 Block SIMON FRASER BD, RMS] Theft Under,Theft,Theft Under
CA23004737,"03/02/2023, 3:03:00 PM","03/03/2023, 5:46:28 AM",LETHBRIDGE,AB,.,800 Block HERITAGE BD, RMS] False Alarm,Other,False Alarm
RM23051184,"03/02/2023, 3:42:00 PM","03/03/2023, 5:46:31 AM",LETHBRIDGE,AB,.,100 Block 1 AV, RMS] FOIP - Personal,Other,FOIP - Personal
P23009697,"03/02/2023, 1:06:11 PM","03/02/2023, 9:45:56 PM",LETHBRIDGE,AB,.,3400 Block PARKSIDE DR,ALARMS,Other,ALARMS
P23009698,"03/02/2023, 1:21:39 PM","03/02/2023, 9:45:56 PM",LETHBRIDGE,AB,.,400 Block MAYOR MAGRATH DR,ASSAULT,Assault,ASSAULT
P23009699,"03/02/2023, 1:42:54 PM","03/02/2023, 9:45:56 PM",LETHBRIDGE,AB,.,200 Block 3 AV,THEFT (LARCENY),Theft,THEFT (LARCENY)
P23009700,"03/02/2023, 1:54:19 PM","03/02/2023, 9:45:56 PM",LETHBRIDGE,AB,.,700 Block 2A AV,BURGLARY (BREAK-AND-ENTER)/HOME INVASION,Other,BURGLARY (BREAK-AND-ENTER)/HOME INVASION
P23009701,"03/02/2023, 2:06:26 PM","03/02/2023, 9:45:56 PM",LETHBRIDGE,AB,.,300 Block 4 ST,DRUGS,Quality of Life,DRUGS
P23009702,"03/02/2023, 2:08:00 PM","03/02/2023, 9:45:56 PM",LETHBRIDGE,AB,.,3700 Block MAYOR MAGRATH DR,"PUBLIC SERVICE (LOCK-OUT/LOCK-IN, PEACE, WELFARE, RECKLESS ACTIVITY)",Other,"PUBLIC SERVICE (LOCK-OUT/LOCK-IN, PEACE, WELFARE, RECKLESS ACTIVITY)"
RM23050622,"02/03/2023, 3:29:00 PM","03/02/2023, 9:45:56 PM",LETHBRIDGE,AB,.,21100 Block HWY 512, RMS] Obstructing Justice  139 CC,Other,Obstructing Justice  139 CC
CA23004712,"03/02/2023, 5:06:00 AM","03/02/2023, 9:45:47 PM",LETHBRIDGE,AB,.,1000 Block MAYOR MAGRATH DR, RMS] Check On Welfare,Other,Check On Welfare
CA23004708,"03/02/2023, 3:20:00 AM","03/02/2023, 9:45:47 PM",LETHBRIDGE,AB,.,600 Block 9 ST, RMS] Assist Others,Other,Assist Others
RM23051183,"03/02/2023, 2:29:00 PM","03/02/2023, 9:45:47 PM",LETHBRIDGE,AB,.,100 Block 1 AV, RMS] FOIP - Personal,Other,FOIP - Personal
CA23004730,"03/02/2023, 10:33:00 AM","03/02/2023, 9:45:53 PM",LETHBRIDGE,AB,.,1200 Block 9 ST, RMS] Assault,Assault,Assault
CA23004732,"03/02/2023, 12:07:00 PM","03/02/2023, 9:45:53 PM",LETHBRIDGE,AB,.,200 Block 13 ST, RMS] False Alarm,Other,False Alarm
P23009693,"03/02/2023, 12:14:19 PM","03/02/2023, 9:45:58 PM",LETHBRIDGE,AB,.,300 Block 5 ST,ALARMS,Other,ALARMS
P23009694,"03/02/2023, 12:19:41 PM","03/02/2023, 9:45:58 PM",LETHBRIDGE,AB,.,200 Block 13 ST,ALARMS,Other,ALARMS
P23009695,"03/02/2023, 12:28:48 PM","03/02/2023, 9:45:58 PM",LETHBRIDGE,AB,.,1700 Block ST EDWARD BD,TRESPASSING/UNWANTED,Quality of Life,TRESPASSING/UNWANTED
P23009696,"03/02/2023, 12:42:20 PM","03/02/2023, 9:45:58 PM",LETHBRIDGE,AB,.,1100 Block 9 ST,SUPPLEMENTAL,Other,SUPPLEMENTAL
CA23004729,"03/02/2023, 10:28:00 AM","03/02/2023, 9:45:53 PM",LETHBRIDGE,AB,.,300 Block UPLANDS BD, RMS] Intoxication - NOT arrested,Quality of Life,Intoxication - NOT arrested
P23009688,"03/02/2023, 10:11:08 AM","03/02/2023, 9:45:57 PM",LETHBRIDGE,AB,.,200 Block 13 ST,ALARMS,Other,ALARMS
P23009690,"03/02/2023, 10:28:25 AM","03/02/2023, 9:45:58 PM",LETHBRIDGE,AB,.,300 Block UPLANDS BD,TRESPASSING/UNWANTED,Quality of Life,TRESPASSING/UNWANTED
P23009691,"03/02/2023, 10:33:53 AM","03/02/2023, 9:45:58 PM",LETHBRIDGE,AB,.,1200 Block 9 ST,DOMESTIC DISTURBANCE/VIOLENCE,Other,DOMESTIC DISTURBANCE/VIOLENCE
P23009692,"03/02/2023, 10:42:22 AM","03/02/2023, 9:45:58 PM",LETHBRIDGE,AB,.,1100 Block 9 ST,DOMESTIC DISTURBANCE/VIOLENCE,Other,DOMESTIC DISTURBANCE/VIOLENCE
CA23004728,"03/02/2023, 10:15:00 AM","03/02/2023, 9:45:53 PM",LETHBRIDGE,AB,.,CROWSNEST TR & SCENIC DR, RMS] Impaired Operation (Alcohol),Traffic,Impaired Operation (Alcohol)
CA23004724,"03/02/2023, 8:10:00 AM","03/02/2023, 9:45:53 PM",LETHBRIDGE,AB,.,1 Block AV & 7 ST, RMS] Check On Welfare,Other,Check On Welfare
CA23004707,"03/02/2023, 12:00:00 AM","03/02/2023, 9:45:52 PM",LETHBRIDGE,AB,.,1300 Block 23 ST, RMS] Landlord & Tenant,Other,Landlord & Tenant
