ccn,date,updateDate,city,state,postalCode,blocksizedAddress,incidentType,parentIncidentType,narrative
P22054060,"11/16/2022, 5:03:04 PM","11/17/2022, 7:35:30 AM",LETHBRIDGE,AB,.,300 Block 4 ST,"PUBLIC SERVICE (LOCK-OUT/LOCK-IN, PEACE, WELFARE, RECKLESS ACTIVITY)",Other,"PUBLIC SERVICE (LOCK-OUT/LOCK-IN, PEACE, WELFARE, RECKLESS ACTIVITY)"
P22054062,"11/16/2022, 5:30:13 PM","11/17/2022, 7:35:30 AM",LETHBRIDGE,AB,.,800 Block MAYOR MAGRATH DR,TRAFFIC STOP,Proactive Policing,TRAFFIC STOP
P22054045,"11/16/2022, 3:43:16 PM","11/16/2022, 11:35:04 PM",LETHBRIDGE,AB,.,800 Block 2 AV,TRESPASSING/UNWANTED,Quality of Life,TRESPASSING/UNWANTED
P22054046,"11/16/2022, 3:44:59 PM","11/16/2022, 11:35:03 PM",LETHBRIDGE,AB,.,900 Block 19 ST,SUBJECT STOP,Proactive Policing,SUBJECT STOP
P22054047,"11/16/2022, 3:49:38 PM","11/16/2022, 11:35:03 PM",LETHBRIDGE,AB,.,UNKNOWN STREET,TRAFFIC STOP,Proactive Policing,TRAFFIC STOP
P22054048,"11/16/2022, 3:55:53 PM","11/16/2022, 11:35:03 PM",LETHBRIDGE,AB,.,3000 Block 2 AV,TRAFFIC VIOLATION/COMPLAINT/HAZARD,Proactive Policing,TRAFFIC VIOLATION/COMPLAINT/HAZARD
P22054049,"11/16/2022, 3:57:32 PM","11/16/2022, 11:35:03 PM",LETHBRIDGE,AB,.,1900 Block CEDAR RD,TRAFFIC/TRANSPORTATION INCIDENT (CRASH),Other,TRAFFIC/TRANSPORTATION INCIDENT (CRASH)
P22054051,"11/16/2022, 3:59:51 PM","11/16/2022, 11:35:04 PM",LETHBRIDGE,AB,.,1900 Block 18 ST,SUPPLEMENTAL,Other,SUPPLEMENTAL
P22054052,"11/16/2022, 4:00:56 PM","11/16/2022, 11:35:04 PM",LETHBRIDGE,AB,.,800 Block 16 ST,DAMAGE/VANDALISM/MISCHIEF,Quality of Life,DAMAGE/VANDALISM/MISCHIEF
P22054053,"11/16/2022, 4:03:40 PM","11/16/2022, 11:35:03 PM",LETHBRIDGE,AB,.,UNKNOWN STREET,ANIMAL,Proactive Policing,ANIMAL
P22054055,"11/16/2022, 4:24:06 PM","11/16/2022, 11:35:04 PM",LETHBRIDGE,AB,.,2400 Block 15 AV,PARKING COMMISSIONAIRE,Other,PARKING COMMISSIONAIRE
P22054040,"11/16/2022, 2:34:40 PM","11/16/2022, 11:35:11 PM",LETHBRIDGE,AB,.,1800 Block 18 AV,SUBJECT STOP,Proactive Policing,SUBJECT STOP
P22054041,"11/16/2022, 2:35:50 PM","11/16/2022, 11:35:11 PM",LETHBRIDGE,AB,.,600 Block 17 ST,PARKING COMMISSIONAIRE,Other,PARKING COMMISSIONAIRE
P22054042,"11/16/2022, 2:40:46 PM","11/16/2022, 11:35:11 PM",LETHBRIDGE,AB,.,300 Block 19 ST,SUPPLEMENTAL,Other,SUPPLEMENTAL
P22054043,"11/16/2022, 2:55:27 PM","11/16/2022, 11:35:12 PM",LETHBRIDGE,AB,.,UNKNOWN STREET,TRAFFIC VIOLATION/COMPLAINT/HAZARD,Proactive Policing,TRAFFIC VIOLATION/COMPLAINT/HAZARD
P22054044,"11/16/2022, 3:21:05 PM","11/16/2022, 11:35:12 PM",LETHBRIDGE,AB,.,200 Block BLACKFOOT RD,TRAFFIC STOP,Proactive Policing,TRAFFIC STOP
P22054039,"11/16/2022, 2:12:37 PM","11/16/2022, 11:35:11 PM",LETHBRIDGE,AB,.,1 Block STAFFORDVILLE CR,TRAFFIC/TRANSPORTATION INCIDENT (CRASH),Other,TRAFFIC/TRANSPORTATION INCIDENT (CRASH)
P22054038,"11/16/2022, 11:15:04 AM","11/16/2022, 11:35:11 PM",LETHBRIDGE,AB,.,1 Block MT RUNDLE RD,"SUSPICIOUS/WANTED (PERSON, CIRCUMSTANCES, VEHICLE)",Proactive Policing,"SUSPICIOUS/WANTED (PERSON, CIRCUMSTANCES, VEHICLE)"
P22054035,"11/16/2022, 9:47:45 AM","11/16/2022, 11:35:10 PM",LETHBRIDGE,AB,.,900 Block 8 AV,TRESPASSING/UNWANTED,Quality of Life,TRESPASSING/UNWANTED
P22054036,"11/16/2022, 10:10:53 AM","11/16/2022, 11:35:10 PM",LETHBRIDGE,AB,.,800 Block 11 ST,SUICIDAL PERSON/ATTEMPTED SUICIDE,Other,SUICIDAL PERSON/ATTEMPTED SUICIDE
P22054037,"11/16/2022, 10:16:27 AM","11/16/2022, 11:35:10 PM",LETHBRIDGE,AB,.,2300 Block 36 ST,SUBJECT STOP,Proactive Policing,SUBJECT STOP
P22054032,"11/16/2022, 8:57:03 AM","11/16/2022, 11:35:09 PM",LETHBRIDGE,AB,.,1 Block QUEENS RD,DOMESTIC DISTURBANCE/VIOLENCE,Other,DOMESTIC DISTURBANCE/VIOLENCE
P22054033,"11/16/2022, 9:04:42 AM","11/16/2022, 11:35:10 PM",LETHBRIDGE,AB,.,1 Block DALHOUSIE RD,DOMESTIC DISTURBANCE/VIOLENCE,Other,DOMESTIC DISTURBANCE/VIOLENCE
P22054034,"11/16/2022, 9:20:56 AM","11/16/2022, 11:35:10 PM",LETHBRIDGE,AB,.,1700 Block 2 AV,"SUSPICIOUS/WANTED (PERSON, CIRCUMSTANCES, VEHICLE)",Proactive Policing,"SUSPICIOUS/WANTED (PERSON, CIRCUMSTANCES, VEHICLE)"
P22054030,"11/16/2022, 8:08:26 AM","11/16/2022, 3:48:13 PM",LETHBRIDGE,AB,.,900 Block 2 AV,SUBJECT STOP,Proactive Policing,SUBJECT STOP
P22054031,"11/16/2022, 8:42:05 AM","11/16/2022, 3:48:13 PM",LETHBRIDGE,AB,.,900 Block 9 ST,"SUSPICIOUS/WANTED (PERSON, CIRCUMSTANCES, VEHICLE)",Proactive Policing,"SUSPICIOUS/WANTED (PERSON, CIRCUMSTANCES, VEHICLE)"
P22054029,"11/16/2022, 7:28:37 AM","11/16/2022, 3:48:27 PM",LETHBRIDGE,AB,.,3500 Block MAYOR MAGRATH DR,THEFT (LARCENY),Theft,THEFT (LARCENY)
P22054028,"11/16/2022, 6:04:42 AM","11/16/2022, 3:48:27 PM",LETHBRIDGE,AB,.,1100 Block 5 AV,"SUSPICIOUS/WANTED (PERSON, CIRCUMSTANCES, VEHICLE)",Proactive Policing,"SUSPICIOUS/WANTED (PERSON, CIRCUMSTANCES, VEHICLE)"
P22054024,"11/16/2022, 4:49:58 AM","11/16/2022, 3:48:26 PM",LETHBRIDGE,AB,.,900 Block 10 ST,SUICIDAL PERSON/ATTEMPTED SUICIDE,Other,SUICIDAL PERSON/ATTEMPTED SUICIDE
P22054025,"11/16/2022, 5:14:55 AM","11/16/2022, 3:48:26 PM",LETHBRIDGE,AB,.,1800 Block 3 AV,TRESPASSING/UNWANTED,Quality of Life,TRESPASSING/UNWANTED
P22054026,"11/16/2022, 5:17:13 AM","11/16/2022, 3:48:26 PM",LETHBRIDGE,AB,.,2400 Block SCENIC DR,DOMESTIC DISTURBANCE/VIOLENCE,Other,DOMESTIC DISTURBANCE/VIOLENCE
P22054027,"11/16/2022, 5:19:30 AM","11/16/2022, 3:48:27 PM",LETHBRIDGE,AB,.,2400 Block SCENIC DR,DOMESTIC DISTURBANCE/VIOLENCE,Other,DOMESTIC DISTURBANCE/VIOLENCE
P22054016,"11/16/2022, 3:59:25 AM","11/16/2022, 3:48:24 PM",LETHBRIDGE,AB,.,100 Block COULEECREEK LN,ASSIST OTHER AGENCIES,Other,ASSIST OTHER AGENCIES
P22054017,"11/16/2022, 4:02:18 AM","11/16/2022, 3:48:24 PM",LETHBRIDGE,AB,.,200 Block 13 ST,PUBLIC SERVICE,Other,PUBLIC SERVICE
P22054018,"11/16/2022, 4:20:49 AM","11/16/2022, 3:48:25 PM",LETHBRIDGE,AB,.,200 Block 13 ST,INDECENCY/LEWDNESS,Sexual Offense,INDECENCY/LEWDNESS
P22054019,"11/16/2022, 4:22:34 AM","11/16/2022, 3:48:25 PM",LETHBRIDGE,AB,.,2700 Block 11 AV,DOMESTIC DISTURBANCE/VIOLENCE,Other,DOMESTIC DISTURBANCE/VIOLENCE
P22054020,"11/16/2022, 4:24:47 AM","11/16/2022, 3:48:25 PM",LETHBRIDGE,AB,.,900 Block 1 AV,PUBLIC SERVICE,Other,PUBLIC SERVICE
P22054021,"11/16/2022, 4:26:57 AM","11/16/2022, 3:48:25 PM",LETHBRIDGE,AB,.,800 Block 5 AV,PUBLIC SERVICE,Other,PUBLIC SERVICE
P22054022,"11/16/2022, 4:32:19 AM","11/16/2022, 3:48:26 PM",LETHBRIDGE,AB,.,UNKNOWN STREET,TRAFFIC STOP,Proactive Policing,TRAFFIC STOP
P22054023,"11/16/2022, 4:41:19 AM","11/16/2022, 3:48:26 PM",LETHBRIDGE,AB,.,UNKNOWN STREET,TRAFFIC STOP,Proactive Policing,TRAFFIC STOP
P22054012,"11/16/2022, 2:53:29 AM","11/16/2022, 3:48:23 PM",LETHBRIDGE,AB,.,100 Block LAVAL BD,DOMESTIC DISTURBANCE/VIOLENCE,Other,DOMESTIC DISTURBANCE/VIOLENCE
P22054013,"11/16/2022, 3:20:33 AM","11/16/2022, 3:48:23 PM",LETHBRIDGE,AB,.,UNKNOWN STREET,DRUGS,Quality of Life,DRUGS
